__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,medtech,Medical Technician,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,medtech,Medical Technician,TOTAL,100.08
HiringLabSectoralPosting,2020-02-03,US,United States,medtech,Medical Technician,TOTAL,100.2
HiringLabSectoralPosting,2020-02-04,US,United States,medtech,Medical Technician,TOTAL,100.34
HiringLabSectoralPosting,2020-02-05,US,United States,medtech,Medical Technician,TOTAL,100.35
HiringLabSectoralPosting,2020-02-06,US,United States,medtech,Medical Technician,TOTAL,100.44
HiringLabSectoralPosting,2020-02-07,US,United States,medtech,Medical Technician,TOTAL,100.44
HiringLabSectoralPosting,2020-02-08,US,United States,medtech,Medical Technician,TOTAL,100.38
HiringLabSectoralPosting,2020-02-09,US,United States,medtech,Medical Technician,TOTAL,100.33
HiringLabSectoralPosting,2020-02-10,US,United States,medtech,Medical Technician,TOTAL,100.3
HiringLabSectoralPosting,2020-02-11,US,United States,medtech,Medical Technician,TOTAL,100.23
HiringLabSectoralPosting,2020-02-12,US,United States,medtech,Medical Technician,TOTAL,100.29
HiringLabSectoralPosting,2020-02-13,US,United States,medtech,Medical Technician,TOTAL,100.23
HiringLabSectoralPosting,2020-02-14,US,United States,medtech,Medical Technician,TOTAL,100.26
HiringLabSectoralPosting,2020-02-15,US,United States,medtech,Medical Technician,TOTAL,100.2
HiringLabSectoralPosting,2020-02-16,US,United States,medtech,Medical Technician,TOTAL,100.28
HiringLabSectoralPosting,2020-02-17,US,United States,medtech,Medical Technician,TOTAL,100.39
HiringLabSectoralPosting,2020-02-18,US,United States,medtech,Medical Technician,TOTAL,100.4
HiringLabSectoralPosting,2020-02-19,US,United States,medtech,Medical Technician,TOTAL,100.48
HiringLabSectoralPosting,2020-02-20,US,United States,medtech,Medical Technician,TOTAL,100.53
HiringLabSectoralPosting,2020-02-21,US,United States,medtech,Medical Technician,TOTAL,100.62
HiringLabSectoralPosting,2020-02-22,US,United States,medtech,Medical Technician,TOTAL,100.76
HiringLabSectoralPosting,2020-02-23,US,United States,medtech,Medical Technician,TOTAL,100.86
HiringLabSectoralPosting,2020-02-24,US,United States,medtech,Medical Technician,TOTAL,100.87
HiringLabSectoralPosting,2020-02-25,US,United States,medtech,Medical Technician,TOTAL,101.02
HiringLabSectoralPosting,2020-02-26,US,United States,medtech,Medical Technician,TOTAL,101.1
HiringLabSectoralPosting,2020-02-27,US,United States,medtech,Medical Technician,TOTAL,101.19
HiringLabSectoralPosting,2020-02-28,US,United States,medtech,Medical Technician,TOTAL,101.24
HiringLabSectoralPosting,2020-02-29,US,United States,medtech,Medical Technician,TOTAL,101.48
HiringLabSectoralPosting,2020-03-01,US,United States,medtech,Medical Technician,TOTAL,101.68
HiringLabSectoralPosting,2020-03-02,US,United States,medtech,Medical Technician,TOTAL,101.87
HiringLabSectoralPosting,2020-03-03,US,United States,medtech,Medical Technician,TOTAL,101.83
HiringLabSectoralPosting,2020-03-04,US,United States,medtech,Medical Technician,TOTAL,101.81
HiringLabSectoralPosting,2020-03-05,US,United States,medtech,Medical Technician,TOTAL,101.83
HiringLabSectoralPosting,2020-03-06,US,United States,medtech,Medical Technician,TOTAL,101.79
HiringLabSectoralPosting,2020-03-07,US,United States,medtech,Medical Technician,TOTAL,101.64
HiringLabSectoralPosting,2020-03-08,US,United States,medtech,Medical Technician,TOTAL,101.48
HiringLabSectoralPosting,2020-03-09,US,United States,medtech,Medical Technician,TOTAL,101.28
HiringLabSectoralPosting,2020-03-10,US,United States,medtech,Medical Technician,TOTAL,101.24
HiringLabSectoralPosting,2020-03-11,US,United States,medtech,Medical Technician,TOTAL,101.18
HiringLabSectoralPosting,2020-03-12,US,United States,medtech,Medical Technician,TOTAL,101.09
HiringLabSectoralPosting,2020-03-13,US,United States,medtech,Medical Technician,TOTAL,101.11
HiringLabSectoralPosting,2020-03-14,US,United States,medtech,Medical Technician,TOTAL,101.11
HiringLabSectoralPosting,2020-03-15,US,United States,medtech,Medical Technician,TOTAL,100.86
HiringLabSectoralPosting,2020-03-16,US,United States,medtech,Medical Technician,TOTAL,100.92
HiringLabSectoralPosting,2020-03-17,US,United States,medtech,Medical Technician,TOTAL,100.64
HiringLabSectoralPosting,2020-03-18,US,United States,medtech,Medical Technician,TOTAL,100.32
HiringLabSectoralPosting,2020-03-19,US,United States,medtech,Medical Technician,TOTAL,99.89
HiringLabSectoralPosting,2020-03-20,US,United States,medtech,Medical Technician,TOTAL,99.15
HiringLabSectoralPosting,2020-03-21,US,United States,medtech,Medical Technician,TOTAL,98.13
HiringLabSectoralPosting,2020-03-22,US,United States,medtech,Medical Technician,TOTAL,97.44
HiringLabSectoralPosting,2020-03-23,US,United States,medtech,Medical Technician,TOTAL,96.46
HiringLabSectoralPosting,2020-03-24,US,United States,medtech,Medical Technician,TOTAL,95.62
HiringLabSectoralPosting,2020-03-25,US,United States,medtech,Medical Technician,TOTAL,94.58
HiringLabSectoralPosting,2020-03-26,US,United States,medtech,Medical Technician,TOTAL,93.45
HiringLabSectoralPosting,2020-03-27,US,United States,medtech,Medical Technician,TOTAL,92.19
HiringLabSectoralPosting,2020-03-28,US,United States,medtech,Medical Technician,TOTAL,90.81
HiringLabSectoralPosting,2020-03-29,US,United States,medtech,Medical Technician,TOTAL,89.33
HiringLabSectoralPosting,2020-03-30,US,United States,medtech,Medical Technician,TOTAL,87.87
HiringLabSectoralPosting,2020-03-31,US,United States,medtech,Medical Technician,TOTAL,86.44
HiringLabSectoralPosting,2020-04-01,US,United States,medtech,Medical Technician,TOTAL,85.09
HiringLabSectoralPosting,2020-04-02,US,United States,medtech,Medical Technician,TOTAL,83.67
HiringLabSectoralPosting,2020-04-03,US,United States,medtech,Medical Technician,TOTAL,82.5
HiringLabSectoralPosting,2020-04-04,US,United States,medtech,Medical Technician,TOTAL,81.54
HiringLabSectoralPosting,2020-04-05,US,United States,medtech,Medical Technician,TOTAL,80.38
HiringLabSectoralPosting,2020-04-06,US,United States,medtech,Medical Technician,TOTAL,79.14
HiringLabSectoralPosting,2020-04-07,US,United States,medtech,Medical Technician,TOTAL,77.78
HiringLabSectoralPosting,2020-04-08,US,United States,medtech,Medical Technician,TOTAL,76.52
HiringLabSectoralPosting,2020-04-09,US,United States,medtech,Medical Technician,TOTAL,75.14
HiringLabSectoralPosting,2020-04-10,US,United States,medtech,Medical Technician,TOTAL,73.75
HiringLabSectoralPosting,2020-04-11,US,United States,medtech,Medical Technician,TOTAL,72.55
HiringLabSectoralPosting,2020-04-12,US,United States,medtech,Medical Technician,TOTAL,71.45
HiringLabSectoralPosting,2020-04-13,US,United States,medtech,Medical Technician,TOTAL,70.39
HiringLabSectoralPosting,2020-04-14,US,United States,medtech,Medical Technician,TOTAL,69.53
HiringLabSectoralPosting,2020-04-15,US,United States,medtech,Medical Technician,TOTAL,68.84
HiringLabSectoralPosting,2020-04-16,US,United States,medtech,Medical Technician,TOTAL,68.21
HiringLabSectoralPosting,2020-04-17,US,United States,medtech,Medical Technician,TOTAL,67.68
HiringLabSectoralPosting,2020-04-18,US,United States,medtech,Medical Technician,TOTAL,67.14
HiringLabSectoralPosting,2020-04-19,US,United States,medtech,Medical Technician,TOTAL,66.64
HiringLabSectoralPosting,2020-04-20,US,United States,medtech,Medical Technician,TOTAL,66.26
HiringLabSectoralPosting,2020-04-21,US,United States,medtech,Medical Technician,TOTAL,65.8
HiringLabSectoralPosting,2020-04-22,US,United States,medtech,Medical Technician,TOTAL,65.18
HiringLabSectoralPosting,2020-04-23,US,United States,medtech,Medical Technician,TOTAL,64.82
HiringLabSectoralPosting,2020-04-24,US,United States,medtech,Medical Technician,TOTAL,64.31
HiringLabSectoralPosting,2020-04-25,US,United States,medtech,Medical Technician,TOTAL,63.78
HiringLabSectoralPosting,2020-04-26,US,United States,medtech,Medical Technician,TOTAL,63.25
HiringLabSectoralPosting,2020-04-27,US,United States,medtech,Medical Technician,TOTAL,62.82
HiringLabSectoralPosting,2020-04-28,US,United States,medtech,Medical Technician,TOTAL,62.37
HiringLabSectoralPosting,2020-04-29,US,United States,medtech,Medical Technician,TOTAL,61.93
HiringLabSectoralPosting,2020-04-30,US,United States,medtech,Medical Technician,TOTAL,61.4
HiringLabSectoralPosting,2020-05-01,US,United States,medtech,Medical Technician,TOTAL,61.1
HiringLabSectoralPosting,2020-05-02,US,United States,medtech,Medical Technician,TOTAL,60.88
HiringLabSectoralPosting,2020-05-03,US,United States,medtech,Medical Technician,TOTAL,60.79
HiringLabSectoralPosting,2020-05-04,US,United States,medtech,Medical Technician,TOTAL,60.8
HiringLabSectoralPosting,2020-05-05,US,United States,medtech,Medical Technician,TOTAL,60.76
HiringLabSectoralPosting,2020-05-06,US,United States,medtech,Medical Technician,TOTAL,60.68
HiringLabSectoralPosting,2020-05-07,US,United States,medtech,Medical Technician,TOTAL,60.69
HiringLabSectoralPosting,2020-05-08,US,United States,medtech,Medical Technician,TOTAL,60.58
HiringLabSectoralPosting,2020-05-09,US,United States,medtech,Medical Technician,TOTAL,60.5
HiringLabSectoralPosting,2020-05-10,US,United States,medtech,Medical Technician,TOTAL,60.29
HiringLabSectoralPosting,2020-05-11,US,United States,medtech,Medical Technician,TOTAL,59.91
HiringLabSectoralPosting,2020-05-12,US,United States,medtech,Medical Technician,TOTAL,59.79
HiringLabSectoralPosting,2020-05-13,US,United States,medtech,Medical Technician,TOTAL,59.25
HiringLabSectoralPosting,2020-05-14,US,United States,medtech,Medical Technician,TOTAL,58.92
HiringLabSectoralPosting,2020-05-15,US,United States,medtech,Medical Technician,TOTAL,58.93
HiringLabSectoralPosting,2020-05-16,US,United States,medtech,Medical Technician,TOTAL,58.84
HiringLabSectoralPosting,2020-05-17,US,United States,medtech,Medical Technician,TOTAL,58.85
HiringLabSectoralPosting,2020-05-18,US,United States,medtech,Medical Technician,TOTAL,58.87
HiringLabSectoralPosting,2020-05-19,US,United States,medtech,Medical Technician,TOTAL,58.81
HiringLabSectoralPosting,2020-05-20,US,United States,medtech,Medical Technician,TOTAL,59.36
HiringLabSectoralPosting,2020-05-21,US,United States,medtech,Medical Technician,TOTAL,59.87
HiringLabSectoralPosting,2020-05-22,US,United States,medtech,Medical Technician,TOTAL,60.21
HiringLabSectoralPosting,2020-05-23,US,United States,medtech,Medical Technician,TOTAL,60.65
HiringLabSectoralPosting,2020-05-24,US,United States,medtech,Medical Technician,TOTAL,60.94
HiringLabSectoralPosting,2020-05-25,US,United States,medtech,Medical Technician,TOTAL,61.12
HiringLabSectoralPosting,2020-05-26,US,United States,medtech,Medical Technician,TOTAL,61.25
HiringLabSectoralPosting,2020-05-27,US,United States,medtech,Medical Technician,TOTAL,61.15
HiringLabSectoralPosting,2020-05-28,US,United States,medtech,Medical Technician,TOTAL,60.96
HiringLabSectoralPosting,2020-05-29,US,United States,medtech,Medical Technician,TOTAL,60.77
HiringLabSectoralPosting,2020-05-30,US,United States,medtech,Medical Technician,TOTAL,60.8
HiringLabSectoralPosting,2020-05-31,US,United States,medtech,Medical Technician,TOTAL,60.82
HiringLabSectoralPosting,2020-06-01,US,United States,medtech,Medical Technician,TOTAL,61.04
HiringLabSectoralPosting,2020-06-02,US,United States,medtech,Medical Technician,TOTAL,61.32
HiringLabSectoralPosting,2020-06-03,US,United States,medtech,Medical Technician,TOTAL,61.8
HiringLabSectoralPosting,2020-06-04,US,United States,medtech,Medical Technician,TOTAL,62.19
HiringLabSectoralPosting,2020-06-05,US,United States,medtech,Medical Technician,TOTAL,62.54
HiringLabSectoralPosting,2020-06-06,US,United States,medtech,Medical Technician,TOTAL,62.75
HiringLabSectoralPosting,2020-06-07,US,United States,medtech,Medical Technician,TOTAL,63.03
HiringLabSectoralPosting,2020-06-08,US,United States,medtech,Medical Technician,TOTAL,63.21
HiringLabSectoralPosting,2020-06-09,US,United States,medtech,Medical Technician,TOTAL,63.44
HiringLabSectoralPosting,2020-06-10,US,United States,medtech,Medical Technician,TOTAL,63.68
HiringLabSectoralPosting,2020-06-11,US,United States,medtech,Medical Technician,TOTAL,63.97
HiringLabSectoralPosting,2020-06-12,US,United States,medtech,Medical Technician,TOTAL,64.3
HiringLabSectoralPosting,2020-06-13,US,United States,medtech,Medical Technician,TOTAL,64.52
HiringLabSectoralPosting,2020-06-14,US,United States,medtech,Medical Technician,TOTAL,64.81
HiringLabSectoralPosting,2020-06-15,US,United States,medtech,Medical Technician,TOTAL,65.15
HiringLabSectoralPosting,2020-06-16,US,United States,medtech,Medical Technician,TOTAL,65.41
