__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,sales,Sales,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,sales,Sales,TOTAL,99.85
HiringLabSectoralPosting,2020-02-03,US,United States,sales,Sales,TOTAL,99.71
HiringLabSectoralPosting,2020-02-04,US,United States,sales,Sales,TOTAL,99.6
HiringLabSectoralPosting,2020-02-05,US,United States,sales,Sales,TOTAL,99.54
HiringLabSectoralPosting,2020-02-06,US,United States,sales,Sales,TOTAL,99.51
HiringLabSectoralPosting,2020-02-07,US,United States,sales,Sales,TOTAL,99.44
HiringLabSectoralPosting,2020-02-08,US,United States,sales,Sales,TOTAL,99.44
HiringLabSectoralPosting,2020-02-09,US,United States,sales,Sales,TOTAL,99.5
HiringLabSectoralPosting,2020-02-10,US,United States,sales,Sales,TOTAL,99.55
HiringLabSectoralPosting,2020-02-11,US,United States,sales,Sales,TOTAL,99.57
HiringLabSectoralPosting,2020-02-12,US,United States,sales,Sales,TOTAL,99.59
HiringLabSectoralPosting,2020-02-13,US,United States,sales,Sales,TOTAL,99.55
HiringLabSectoralPosting,2020-02-14,US,United States,sales,Sales,TOTAL,99.55
HiringLabSectoralPosting,2020-02-15,US,United States,sales,Sales,TOTAL,99.41
HiringLabSectoralPosting,2020-02-16,US,United States,sales,Sales,TOTAL,99.32
HiringLabSectoralPosting,2020-02-17,US,United States,sales,Sales,TOTAL,99.21
HiringLabSectoralPosting,2020-02-18,US,United States,sales,Sales,TOTAL,99.1
HiringLabSectoralPosting,2020-02-19,US,United States,sales,Sales,TOTAL,98.96
HiringLabSectoralPosting,2020-02-20,US,United States,sales,Sales,TOTAL,99
HiringLabSectoralPosting,2020-02-21,US,United States,sales,Sales,TOTAL,99.02
HiringLabSectoralPosting,2020-02-22,US,United States,sales,Sales,TOTAL,99.01
HiringLabSectoralPosting,2020-02-23,US,United States,sales,Sales,TOTAL,99.11
HiringLabSectoralPosting,2020-02-24,US,United States,sales,Sales,TOTAL,99.21
HiringLabSectoralPosting,2020-02-25,US,United States,sales,Sales,TOTAL,99.36
HiringLabSectoralPosting,2020-02-26,US,United States,sales,Sales,TOTAL,99.51
HiringLabSectoralPosting,2020-02-27,US,United States,sales,Sales,TOTAL,99.57
HiringLabSectoralPosting,2020-02-28,US,United States,sales,Sales,TOTAL,99.66
HiringLabSectoralPosting,2020-02-29,US,United States,sales,Sales,TOTAL,99.9
HiringLabSectoralPosting,2020-03-01,US,United States,sales,Sales,TOTAL,100
HiringLabSectoralPosting,2020-03-02,US,United States,sales,Sales,TOTAL,100.11
HiringLabSectoralPosting,2020-03-03,US,United States,sales,Sales,TOTAL,100.13
HiringLabSectoralPosting,2020-03-04,US,United States,sales,Sales,TOTAL,100.14
HiringLabSectoralPosting,2020-03-05,US,United States,sales,Sales,TOTAL,100.05
HiringLabSectoralPosting,2020-03-06,US,United States,sales,Sales,TOTAL,99.98
HiringLabSectoralPosting,2020-03-07,US,United States,sales,Sales,TOTAL,99.78
HiringLabSectoralPosting,2020-03-08,US,United States,sales,Sales,TOTAL,99.51
HiringLabSectoralPosting,2020-03-09,US,United States,sales,Sales,TOTAL,99.18
HiringLabSectoralPosting,2020-03-10,US,United States,sales,Sales,TOTAL,98.99
HiringLabSectoralPosting,2020-03-11,US,United States,sales,Sales,TOTAL,98.74
HiringLabSectoralPosting,2020-03-12,US,United States,sales,Sales,TOTAL,98.57
HiringLabSectoralPosting,2020-03-13,US,United States,sales,Sales,TOTAL,98.3
HiringLabSectoralPosting,2020-03-14,US,United States,sales,Sales,TOTAL,98.03
HiringLabSectoralPosting,2020-03-15,US,United States,sales,Sales,TOTAL,97.75
HiringLabSectoralPosting,2020-03-16,US,United States,sales,Sales,TOTAL,97.64
HiringLabSectoralPosting,2020-03-17,US,United States,sales,Sales,TOTAL,97.24
HiringLabSectoralPosting,2020-03-18,US,United States,sales,Sales,TOTAL,96.76
HiringLabSectoralPosting,2020-03-19,US,United States,sales,Sales,TOTAL,96.1
HiringLabSectoralPosting,2020-03-20,US,United States,sales,Sales,TOTAL,95.13
HiringLabSectoralPosting,2020-03-21,US,United States,sales,Sales,TOTAL,93.77
HiringLabSectoralPosting,2020-03-22,US,United States,sales,Sales,TOTAL,92.55
HiringLabSectoralPosting,2020-03-23,US,United States,sales,Sales,TOTAL,91.18
HiringLabSectoralPosting,2020-03-24,US,United States,sales,Sales,TOTAL,89.76
HiringLabSectoralPosting,2020-03-25,US,United States,sales,Sales,TOTAL,88.21
HiringLabSectoralPosting,2020-03-26,US,United States,sales,Sales,TOTAL,86.64
HiringLabSectoralPosting,2020-03-27,US,United States,sales,Sales,TOTAL,84.93
HiringLabSectoralPosting,2020-03-28,US,United States,sales,Sales,TOTAL,83.51
HiringLabSectoralPosting,2020-03-29,US,United States,sales,Sales,TOTAL,81.94
HiringLabSectoralPosting,2020-03-30,US,United States,sales,Sales,TOTAL,80.33
HiringLabSectoralPosting,2020-03-31,US,United States,sales,Sales,TOTAL,78.72
HiringLabSectoralPosting,2020-04-01,US,United States,sales,Sales,TOTAL,77.13
HiringLabSectoralPosting,2020-04-02,US,United States,sales,Sales,TOTAL,75.58
HiringLabSectoralPosting,2020-04-03,US,United States,sales,Sales,TOTAL,74.26
HiringLabSectoralPosting,2020-04-04,US,United States,sales,Sales,TOTAL,72.56
HiringLabSectoralPosting,2020-04-05,US,United States,sales,Sales,TOTAL,70.88
HiringLabSectoralPosting,2020-04-06,US,United States,sales,Sales,TOTAL,69.57
HiringLabSectoralPosting,2020-04-07,US,United States,sales,Sales,TOTAL,68.13
HiringLabSectoralPosting,2020-04-08,US,United States,sales,Sales,TOTAL,66.86
HiringLabSectoralPosting,2020-04-09,US,United States,sales,Sales,TOTAL,65.6
