Date	Open	High	Low	Close	Adj Close	Volume
Dec 1, 2025	4,397.40	4,452.80	4,347.80	4,382.40	4,382.40	-
Nov 1, 2025	4,389.40	4,421.50	4,202.00	4,398.40	4,398.40	-
Oct 1, 2025	4,303.90	4,438.50	4,231.10	4,390.40	4,390.40	-
Sep 1, 2025	4,177.90	4,316.90	4,116.10	4,306.70	4,306.70	-
Aug 1, 2025	4,073.80	4,203.60	4,009.60	4,177.70	4,177.70	-
Jul 1, 2025	4,030.30	4,131.80	4,011.00	4,076.00	4,076.00	-
Jun 1, 2025	3,863.20	4,034.00	3,840.80	4,026.40	4,026.40	-
May 1, 2025	3,652.90	3,879.10	3,649.70	3,863.50	3,863.50	-
Apr 1, 2025	3,629.20	3,678.70	3,155.70	3,655.50	3,655.50	-
Mar 1, 2025	3,807.00	3,839.30	3,568.00	3,628.60	3,628.60	-
Feb 1, 2025	3,822.70	3,910.70	3,747.90	3,805.30	3,805.30	-
Jan 1, 2025	3,707.50	3,877.00	3,644.70	3,836.60	3,836.60	-
Dec 1, 2024	3,811.50	3,860.80	3,668.20	3,707.80	3,707.80	-
Nov 1, 2024	3,649.50	3,816.20	3,643.10	3,810.10	3,810.10	-
Oct 1, 2024	3,720.70	3,758.60	3,647.10	3,647.10	3,647.10	-
Sep 1, 2024	3,659.50	3,739.30	3,505.80	3,723.00	3,723.00	-
Aug 1, 2024	3,571.80	3,661.20	3,313.60	3,661.20	3,661.20	-
Jul 1, 2024	3,513.70	3,649.20	3,481.10	3,571.60	3,571.60	-
Jun 1, 2024	3,446.90	3,543.00	3,430.80	3,511.80	3,511.80	-
May 1, 2024	3,301.50	3,486.30	3,290.60	3,445.20	3,445.20	-
Apr 1, 2024	3,438.80	3,438.80	3,247.60	3,305.30	3,305.30	-
Mar 1, 2024	3,335.30	3,445.70	3,325.40	3,436.80	3,436.80	-
Feb 1, 2024	3,198.10	3,344.40	3,193.70	3,337.20	3,337.20	-
Jan 1, 2024	3,168.50	3,243.50	3,102.60	3,205.30	3,205.30	-
Dec 1, 2023	3,022.10	3,184.30	3,014.40	3,169.20	3,169.20	-
Nov 1, 2023	2,769.30	3,030.70	2,769.20	3,023.60	3,023.60	-
Oct 1, 2023	2,852.50	2,907.20	2,724.90	2,768.60	2,768.60	-
Sep 1, 2023	2,985.60	3,008.40	2,822.20	2,853.20	2,853.20	-
Aug 1, 2023	3,062.20	3,062.70	2,877.10	2,986.00	2,986.00	-
Jul 1, 2023	2,967.70	3,071.00	2,910.40	3,064.30	3,064.30	-
Jun 1, 2023	2,803.70	2,982.50	2,803.40	2,966.70	2,966.70	-
May 1, 2023	2,835.60	2,854.80	2,774.10	2,800.60	2,800.60	-
Apr 1, 2023	2,788.90	2,843.60	2,769.00	2,835.90	2,835.90	-
Mar 1, 2023	2,712.40	2,791.50	2,612.60	2,791.40	2,791.40	-
Feb 1, 2023	2,787.00	2,854.10	2,694.00	2,714.60	2,714.60	-
Jan 1, 2023	2,604.50	2,798.60	2,586.20	2,785.00	2,785.00	-
Dec 1, 2022	2,732.60	2,761.20	2,566.50	2,602.70	2,602.70	-
Nov 1, 2022	2,548.00	2,729.70	2,453.20	2,720.90	2,720.90	-
Oct 1, 2022	2,378.20	2,564.70	2,315.00	2,547.70	2,547.70	-
Sep 1, 2022	2,622.90	2,725.60	2,377.40	2,378.70	2,378.70	-
Aug 1, 2022	2,747.50	2,854.30	2,625.70	2,627.30	2,627.30	-
Jul 1, 2022	2,547.90	2,751.70	2,485.70	2,746.40	2,746.40	-
Jun 1, 2022	2,792.00	2,819.60	2,467.30	2,546.20	2,546.20	-
May 1, 2022	2,793.30	2,878.40	2,602.60	2,791.00	2,791.00	-
