Date	Open	High	Low	Close	Adj Close	Volume
Dec 1, 2025	3,874.84	3,927.17	3,858.74	3,925.81	3,925.81	-
Nov 1, 2025	3,891.70	3,900.30	3,693.56	3,888.11	3,888.11	-
Oct 1, 2025	3,792.71	3,925.42	3,724.87	3,881.93	3,881.93	-
Sep 1, 2025	3,650.41	3,818.07	3,625.02	3,803.09	3,803.09	-
Aug 1, 2025	3,573.33	3,707.12	3,525.87	3,680.46	3,680.46	-
Jul 1, 2025	3,517.08	3,646.99	3,510.95	3,601.46	3,601.46	-
Jun 1, 2025	3,351.22	3,531.80	3,329.84	3,526.40	3,526.40	-
May 1, 2025	3,197.47	3,394.66	3,173.30	3,360.01	3,360.01	-
Apr 1, 2025	3,180.94	3,238.76	2,745.36	3,163.89	3,163.89	-
Mar 1, 2025	3,396.69	3,409.14	3,118.54	3,187.86	3,187.86	-
Feb 1, 2025	3,416.41	3,511.90	3,325.75	3,389.87	3,389.87	-
Jan 1, 2025	3,369.13	3,505.69	3,296.89	3,460.15	3,460.15	-
Dec 1, 2024	3,470.14	3,502.03	3,328.63	3,356.82	3,356.82	-
Nov 1, 2024	3,252.95	3,474.19	3,252.36	3,466.85	3,466.85	-
Oct 1, 2024	3,277.95	3,352.30	3,231.13	3,254.84	3,254.84	-
Sep 1, 2024	3,206.24	3,283.35	3,073.34	3,281.28	3,281.28	-
Aug 1, 2024	3,162.29	3,221.75	2,921.34	3,218.49	3,218.49	-
Jul 1, 2024	3,106.57	3,231.96	3,078.34	3,154.24	3,154.24	-
Jun 1, 2024	3,020.77	3,131.51	2,984.07	3,099.16	3,099.16	-
May 1, 2024	2,875.50	3,048.94	2,866.99	3,009.72	3,009.72	-
Apr 1, 2024	3,014.57	3,016.66	2,832.50	2,878.12	2,878.12	-
Mar 1, 2024	2,922.88	3,018.15	2,899.35	3,012.90	3,012.90	-
Feb 1, 2024	2,785.68	2,926.82	2,778.52	2,922.16	2,922.16	-
Jan 1, 2024	2,730.76	2,828.06	2,692.73	2,776.35	2,776.35	-
Dec 1, 2023	2,609.85	2,765.30	2,605.11	2,748.21	2,748.21	-
Nov 1, 2023	2,397.33	2,624.02	2,395.87	2,612.87	2,612.87	-
Oct 1, 2023	2,459.18	2,516.64	2,344.37	2,394.59	2,394.59	-
Sep 1, 2023	2,598.81	2,608.51	2,432.82	2,462.06	2,462.06	-
Aug 1, 2023	2,638.64	2,639.16	2,488.45	2,588.11	2,588.11	-
Jul 1, 2023	2,554.44	2,650.90	2,511.73	2,643.69	2,643.69	-
Jun 1, 2023	2,395.02	2,558.98	2,388.96	2,554.49	2,554.49	-
May 1, 2023	2,387.48	2,424.07	2,318.77	2,394.29	2,394.29	-
Apr 1, 2023	2,364.10	2,396.35	2,322.21	2,389.30	2,389.30	-
Mar 1, 2023	2,308.03	2,368.45	2,198.06	2,366.27	2,366.27	-
Feb 1, 2023	2,364.02	2,441.80	2,291.95	2,308.40	2,308.40	-
Jan 1, 2023	2,225.44	2,374.65	2,191.78	2,367.61	2,367.61	-
Dec 1, 2022	2,362.71	2,370.48	2,173.61	2,217.14	2,217.14	-
Nov 1, 2022	2,260.72	2,358.45	2,143.86	2,358.45	2,358.45	-
Oct 1, 2022	2,096.31	2,263.10	2,026.23	2,245.81	2,245.81	-
Sep 1, 2022	2,278.10	2,389.13	2,076.95	2,077.61	2,077.61	-
Aug 1, 2022	2,371.89	2,510.47	2,293.09	2,293.21	2,293.21	-
Jul 1, 2022	2,182.26	2,391.16	2,148.09	2,386.01	2,386.01	-
Jun 1, 2022	2,396.50	2,415.85	2,098.72	2,183.43	2,183.43	-
May 1, 2022	2,393.75	2,495.29	2,203.12	2,386.32	2,386.32	-
Apr 1, 2022	2,631.77	2,667.42	2,389.58	2,393.63	2,393.63	-
Mar 1, 2022	2,551.64	2,697.92	2,415.15	2,631.73	2,631.73	-
Feb 1, 2022	2,622.00	2,674.54	2,397.37	2,552.42	2,552.42	-
Jan 1, 2022	2,788.02	2,817.11	2,452.55	2,621.97	2,621.97	-
Dec 1, 2021	2,687.78	2,813.59	2,635.63	2,788.14	2,788.14	-
Nov 1, 2021	2,730.37	2,803.92	2,682.43	2,685.54	2,685.54	-
Oct 1, 2021	2,560.59	2,733.11	2,543.15	2,730.65	2,730.65	-
Sep 1, 2021	2,683.15	2,698.84	2,556.12	2,559.72	2,559.72	-
Aug 1, 2021	2,607.75	2,692.11	2,584.75	2,682.85	2,682.85	-
Jul 1, 2021	2,570.40	2,635.01	2,512.41	2,611.83	2,611.83	-
Jun 1, 2021	2,512.26	2,576.00	2,489.04	2,570.66	2,570.66	-
May 1, 2021	2,504.01	2,526.96	2,414.80	2,511.52	2,511.52	-
Apr 1, 2021	2,387.11	2,531.21	2,387.11	2,503.56	2,503.56	-
Mar 1, 2021	2,305.91	2,405.67	2,235.69	2,382.74	2,382.74	-
Feb 1, 2021	2,236.75	2,397.42	2,236.75	2,303.22	2,303.22	-
