Major Group	Coverage	Completion	Scope	Score	Employment
Sales and Related	0.56	0.89	0.51	0.32	13,266,370
Computer and Mathematical	0.64	0.86	0.48	0.30	5,177,390
Office and Administrative Support	0.56	0.89	0.49	0.29	18,163,760
Community and Social Service	0.51	0.88	0.44	0.25	2,216,930
Arts, Design, Entertainment, Sports, Media	0.59	0.80	0.49	0.25	2,039,830
Business and Financial Operations	0.49	0.89	0.47	0.24	10,087,850
Educational Instruction and Library	0.46	0.89	0.46	0.23	8,328,920
Architecture and Engineering	0.49	0.84	0.46	0.22	2,523,090
Personal Care and Service	0.39	0.90	0.45	0.20	2,959,620
Life, Physical, and Social Science	0.39	0.88	0.46	0.20	1,381,930
Food Preparation and Serving Related	0.32	0.91	0.43	0.18	13,142,870
Management	0.27	0.90	0.45	0.14	10,445,050
Protective Service	0.33	0.84	0.40	0.14	3,484,710
Legal	0.33	0.89	0.42	0.13	1,196,870
Healthcare Practitioners and Technical	0.25	0.91	0.39	0.12	9,251,930
Installation, Maintenance, and Repair	0.22	0.92	0.41	0.11	5,979,150
Production	0.23	0.91	0.41	0.11	8,419,460
Transportation and Material Moving	0.21	0.92	0.38	0.11	13,664,940
Building, Grounds Cleaning, Maintenance	0.15	0.94	0.38	0.08	4,403,350
Construction and Extraction	0.16	0.92	0.40	0.08	6,188,720
Farming, Fishing, and Forestry	0.11	0.92	0.39	0.06	422,740
Healthcare Support	0.13	0.90	0.38	0.05	7,063,540
