Month,S&P 500,Russell 3000,MSCI World Index,Job Openings,Job Openings: Healthcare,Job Openings: Retail,Indeed: AI,Indeed: MedTechs,Indeed: Sales
2025-12-01,6827.41,3925.81,4382.4,,,,,127.95416666666668,95.02
2025-11-01,6849.09,3888.11,4398.4,,,,398.6,127.21933333333332,92.646
2025-10-01,6840.2,3881.93,4390.4,7670.0,1424.0,762.0,373.6774193548387,126.9790322580645,90.02032258064517
2025-09-01,6688.46,3803.09,4306.7,7658.0,1375.0,620.0,344.43333333333334,129.23366666666666,90.67966666666666
2025-08-01,6460.26,3680.46,4177.7,7227.0,1378.0,603.0,325.258064516129,131.28483870967742,93.3067741935484
2025-07-01,6339.39,3601.46,4076.0,7208.0,1297.0,548.0,306.93548387096774,129.58548387096775,93.53548387096774
2025-06-01,6204.95,3526.4,4026.4,7357.0,1435.0,629.0,292.6666666666667,129.237,93.97666666666667
2025-05-01,5911.69,3360.01,3863.5,7712.0,1615.0,466.0,273.1935483870968,130.02451612903226,93.77548387096776
2025-04-01,5569.06,3163.89,3655.5,7395.0,1547.0,561.0,272.0,133.13066666666666,95.395
2025-03-01,5611.85,3187.86,3628.6,7200.0,1368.0,538.0,270.51612903225805,134.3051612903226,93.26032258064517
2025-02-01,5954.5,3389.87,3805.3,7480.0,1405.0,528.0,273.92857142857144,136.36964285714285,94.10142857142856
2025-01-01,6040.53,3460.15,3836.6,7762.0,1498.0,656.0,267.9032258064516,136.31096774193549,94.08774193548386
2024-12-01,5881.63,3356.82,3707.8,7508.0,1421.0,519.0,261.93548387096774,137.23870967741934,94.5341935483871
2024-11-01,6032.38,3466.85,3810.1,8031.0,1520.0,549.0,253.0333333333333,136.07933333333332,93.22233333333334
2024-10-01,5705.45,3254.84,3647.1,7615.0,1459.0,467.0,242.2258064516129,138.21193548387097,90.90806451612904
2024-09-01,5762.48,3281.28,3723.0,7103.0,1304.0,475.0,234.9333333333333,140.808,92.00933333333334
2024-08-01,5648.4,3218.49,3661.2,7649.0,1499.0,559.0,221.6129032258065,140.75225806451613,91.2732258064516
2024-07-01,5522.3,3154.24,3571.6,7504.0,1519.0,513.0,217.67741935483872,141.9467741935484,93.46193548387096
2024-06-01,5460.48,3099.16,3511.8,7412.0,1609.0,514.0,214.8,142.43566666666666,93.121
2024-05-01,5277.51,3009.72,3445.2,7901.0,1674.0,487.0,202.5483870967742,141.80967741935484,93.0941935483871
2024-04-01,5035.69,2878.12,3305.3,7619.0,1541.0,501.0,200.86666666666665,145.773,95.147
2024-03-01,5254.35,3012.9,3436.8,8093.0,1693.0,493.0,203.32258064516125,148.3774193548387,93.26741935483872
2024-02-01,5096.27,2922.16,3337.2,8445.0,1765.0,584.0,202.24137931034485,149.85103448275862,93.62310344827588
2024-01-01,4845.65,2776.35,3205.3,8468.0,1890.0,571.0,193.7741935483871,151.73870967741934,95.93483870967742
2023-12-01,4769.83,2748.21,3169.2,8585.0,1808.0,739.0,187.93548387096772,153.3922580645161,97.16516129032256
2023-11-01,4567.8,2612.87,3023.6,8663.0,1719.0,586.0,183.13333333333333,155.12633333333332,96.39033333333332
2023-10-01,4193.8,2394.59,2768.6,8550.0,1635.0,531.0,180.8709677419355,156.57129032258064,96.10935483870968
2023-09-01,4288.05,2462.06,2853.2,9279.0,1786.0,638.0,177.8,159.27166666666668,98.444
2023-08-01,4507.66,2588.11,2986.0,9287.0,1923.0,604.0,171.93548387096774,162.498064516129,101.15322580645162
2023-07-01,4588.96,2643.69,3064.3,8606.0,1770.0,717.0,170.38709677419354,163.7241935483871,102.0916129032258
2023-06-01,4450.38,2554.49,2966.7,9191.0,1755.0,686.0,169.56666666666666,164.66066666666666,104.09833333333331
2023-05-01,4179.83,2394.29,2800.6,9310.0,1667.0,753.0,173.61290322580646,166.94451612903225,106.42
2023-04-01,4169.48,2389.3,2835.9,9992.0,1787.0,883.0,179.56666666666666,169.432,107.12866666666667
2023-03-01,4109.31,2366.27,2791.4,9572.0,1720.0,692.0,191.1290322580645,172.4235483870968,105.15516129032258
2023-02-01,3970.15,2308.4,2714.6,9846.0,1659.0,811.0,207.9642857142857,177.44464285714284,107.11178571428572
2023-01-01,4076.6,2367.61,2785.0,10393.0,1827.0,867.0,214.06451612903223,181.10129032258067,110.46322580645162
2022-12-01,3839.5,2217.14,2602.7,10876.0,1921.0,937.0,217.96774193548387,182.2935483870968,115.69451612903228
2022-11-01,4080.11,2358.45,2720.9,10619.0,1905.0,852.0,225.76666666666668,181.59133333333327,118.861
2022-10-01,3871.98,2245.81,2547.7,10488.0,1986.0,878.0,243.1290322580645,179.64999999999998,120.1432258064516
2022-09-01,3585.62,2077.61,2378.7,10812.0,2058.0,850.0,259.6,179.278,122.495
2022-08-01,3955.0,2293.21,2627.3,10148.0,1973.0,820.0,272.48387096774195,180.1706451612903,126.97838709677418
2022-07-01,4130.29,2386.01,2746.4,11610.0,2075.0,908.0,288.93548387096774,181.3167741935484,128.98774193548385
2022-06-01,3785.38,2183.43,2546.2,11256.0,2002.0,867.0,303.8666666666667,182.63333333333333,131.041
2022-05-01,4132.15,2386.32,2791.0,11483.0,2041.0,1060.0,318.1290322580645,182.11,131.45870967741934
2022-04-01,4131.93,2393.63,2795.6,11881.0,2036.0,1063.0,318.06666666666666,182.44166666666663,131.747
2022-03-01,4530.41,2631.73,3053.1,12134.0,2115.0,1316.0,322.38709677419354,185.65451612903223,133.45193548387098
2022-02-01,4373.94,2552.42,2978.0,11661.0,1997.0,1055.0,321.25,188.24142857142857,135.10750000000002
2022-01-01,4515.55,2621.97,3059.1,11238.0,1935.0,997.0,306.64516129032256,188.60806451612905,133.67387096774195
