sectorName,pre_avg,post_avg,pct_change
Dental,157.150301369863,171.59238356164383,9.189980589213437
Civil Engineering,178.08660273972603,194.12241095890408,9.004500042383548
Therapy,171.21465753424658,186.45106849315067,8.899010854754932
Physicians & Surgeons,177.49202739726027,188.43572602739724,6.165740957841968
Sports,140.1723287671233,148.60676712328768,6.017192145089504
Driving,149.43060273972603,153.46523287671232,2.700002585155665
Education & Instruction,157.52775342465753,154.3964109589041,-1.9878036712121843
Personal Care & Home Health,178.0018904109589,173.59301369863013,-2.4768707243220036
Installation & Maintenance,154.4792876712329,146.42520547945205,-5.213697132603156
Community & Social Service,162.32323287671232,153.03150684931506,-5.724212032207681
Pharmacy,174.0670410958904,163.89945205479452,-5.841191403658512
Nursing,170.5406301369863,159.1679178082192,-6.668623377099057
Electrical Engineering,174.63690410958904,160.68676712328767,-7.9880807882091815
Medical Technician,182.95375342465752,167.8675890410959,-8.245889521897281
Food Preparation & Service,136.7847397260274,125.08383561643835,-8.554246718621785
Hospitality & Tourism,134.17868493150687,121.89408219178081,-9.155405529571912
Retail,132.2065205479452,118.31191780821918,-10.50977113847201
Security & Public Safety,165.28216438356165,146.85594520547946,-11.14834092765232
Cleaning & Sanitation,164.71175342465753,141.46276712328768,-14.114952830008217
Management,143.52202739726027,120.96758904109589,-15.714966381944329
Architecture,157.93186301369863,131.4348493150685,-16.777497075641943
Production & Manufacturing,191.64671232876714,156.9795616438356,-18.089092300973334
Legal,172.00175342465752,140.52369863013698,-18.30100808147225
Administrative Assistance,175.76487671232877,143.04260273972602,-18.617072184540437
Customer Service,134.16813698630136,108.79523287671233,-18.91127407707809
Sales,129.38320547945207,104.47657534246575,-19.25028062544165
Medical Information,182.7092602739726,146.21991780821918,-19.971260575976086
Accounting,200.1671506849315,158.47328767123287,-20.829523161533082
Project Management,175.95372602739727,133.60090410958904,-24.0704319675581
Logistic Support,193.29810958904108,146.00512328767124,-24.466347033562034
Loading & Stocking,180.19605479452053,134.61054794520547,-25.297727467616703
Scientific Research & Development,171.28438356164384,126.7449589041096,-26.003202236767176
Arts & Entertainment,141.8282191780822,103.84095890410958,-26.783992983987975
Industrial Engineering,181.6477534246575,132.90712328767123,-26.832498182920027
"IT Infrastructure, Operations & Support",150.38528767123287,104.40260273972602,-30.57658474679559
Banking & Finance,174.76468493150685,113.95887671232876,-34.79296074204516
Media & Communications,155.04145205479452,100.67942465753424,-35.062898777578354
Marketing,161.65638356164385,96.82180821917808,-40.106412078520016
Human Resources,209.87630136986303,121.74673972602739,-41.99119246366256
IT Systems & Solutions,174.5261917808219,99.98490410958904,-42.710659592484134
Data & Analytics,180.32887671232874,96.47994520547945,-46.49778395759102
Software Development,202.5476164383562,95.98115068493152,-52.61304360293835
