sectorName,pre_avg,post_avg,pct_change
Civil Engineering,175.41336986301368,191.18057534246577,8.988599610032711
Physicians & Surgeons,179.4307397260274,190.49860273972604,6.168320450887141
Social Science,186.94701369863014,190.86268493150686,2.094535320681301
Childcare,167.42547945205482,164.88405479452055,-1.5179437836175023
Education & Instruction,166.69882191780823,163.4286301369863,-1.9617365876972535
Personal Care & Home Health,181.60035616438358,177.04523287671233,-2.508322882113722
Installation & Maintenance,163.45832876712328,154.7852602739726,-5.305981382880205
Community & Social Service,165.1053698630137,155.73235616438356,-5.67698900793283
Pharmacy,172.05298630136988,161.92660273972604,-5.885619180074192
Nursing,171.6806301369863,160.2100273972603,-6.681361042636825
Electrical Engineering,176.58528767123286,162.50101369863015,-7.975904537882493
Medical Technician,184.97561643835618,169.74005479452055,-8.236524325309084
Food Preparation & Service,145.6505205479452,133.18827397260273,-8.556266416665608
Hospitality & Tourism,139.4361095890411,126.65586301369864,-9.16566491492741
Retail,140.94238356164385,126.13145205479454,-10.508500801940441
Security & Public Safety,173.47693150684933,154.1265205479452,-11.154457708482187
Mechanical Engineering,179.80380821917808,158.78235616438354,-11.691327487997201
Cleaning & Sanitation,176.06802739726027,151.21279452054793,-14.116834978012083
Management,146.48172602739726,123.44268493150686,-15.728269812700926
Architecture,157.73572602739725,131.2470684931507,-16.79306153486479
Production & Manufacturing,202.4754794520548,165.8154794520548,-18.10589613083539
Legal,176.44098630136986,144.148,-18.30242903211381
Administrative Assistance,175.68504109589043,142.91221917808218,-18.65430415326058
Customer Service,139.75646575342466,113.30799999999999,-18.9246813096206
Sales,132.24663013698628,106.78964383561645,-19.24962948016179
Medical Information,185.36342465753424,148.3424109589041,-19.97212436435495
Accounting,190.50638356164384,150.79561643835618,-20.84484854568566
Project Management,177.52789041095892,134.74364383561644,-24.100014074577985
Loading & Stocking,200.8358082191781,150.10589041095892,-25.25939883830681
Scientific Research & Development,173.8044109589041,128.60953424657535,-26.00329673049267
Arts & Entertainment,143.9486575342466,105.40756164383562,-26.774196127005716
Industrial Engineering,182.88041095890412,133.87128767123286,-26.79845426347184
Logistic Support,197.84435616438356,144.33090410958903,-27.048258081383754
"IT Infrastructure, Operations & Support",151.69950684931507,105.28520547945205,-30.59621111093453
Banking & Finance,177.561698630137,115.75890410958904,-34.80637716204995
Media & Communications,157.9414794520548,102.11328767123287,-35.34739067565168
Marketing,163.20331506849314,97.72120547945205,-40.123026644133766
Human Resources,211.38145205479452,122.51860273972603,-42.03909494009596
IT Systems & Solutions,173.86750684931508,99.58736986301369,-42.72226497770938
Data & Analytics,182.8372328767123,97.76405479452055,-46.52946051724424
Software Development,203.5910684931507,96.455698630137,-52.622824103218456
